codigo,lab_1,lab_2,lab_3,lab_4,lab_5,lab_6,lab_7,lab_8,lab_9,lab_10,lab_11,lab_12,lab_13,lab_14
20230130,10,20,15,15,20,5,9,17,5,11,19,15,19,3
20230131,5,15,17,12,2,13,15,19,3,20,8,9,17,12
20230132,20,11,15,17,9,17,16,12,18,1,10,12,12,19
20230133,1,19,10,11,9,3,15,17,12,2,2,18,6,9
20230134,10,3,13,18,4,18,11,19,1,3,8,8,11,9
20230135,11,0,0,12,18,4,1,12,6,2,4,19,12,6
20230136,0,1,18,3,18,12,6,18,9,16,9,8,14,18
20230137,3,20,2,20,0,12,2,19,19,8,10,13,13,7
20230138,17,4,7,18,13,7,17,18,10,11,1,16,15,7
20230139,11,15,3,20,3,16,8,6,5,16,13,6,11,10
20230140,2,12,9,6,20,2,4,14,10,17,12,13,15,16
20230141,12,12,16,2,10,1,0,17,1,8,10,7,10,16
20230142,12,20,5,3,6,6,12,12,3,11,2,6,20,10
20230143,14,10,3,1,7,4,18,7,0,7,11,2,7,15
20230144,9,3,10,17,11,11,20,16,8,3,7,10,20,5
20230145,16,19,18,17,19,17,16,0,16,0,9,16,14,3
20230146,14,6,1,18,11,14,17,3,9,1,14,10,7,16
20230147,3,4,19,16,8,17,8,16,10,2,14,2,20,9
20230148,18,16,7,20,7,20,13,15,1,7,14,18,0,2
20230149,7,17,6,14,9,2,2,13,15,20,12,2,0,5
20230150,0,11,18,11,17,9,4,7,4,4,14,10,14,15
20230151,14,9,20,16,1,8,4,5,19,10,2,14,18,4
20230152,19,9,4,14,7,5,11,20,8,9,8,8,3,15
20230153,17,3,7,6,5,4,1,15,11,1,0,2,20,8
20230154,6,5,12,5,20,10,18,14,12,15,20,0,19,4
20230155,1,16,20,14,4,18,7,3,13,2,11,8,1,0
20230156,7,18,3,5,20,11,18,14,9,18,6,3,5,17
20230157,19,20,17,17,20,14,3,10,19,3,2,17,5,16
20230158,2,19,4,4,3,2,14,10,14,13,7,9,9,17
20230159,18,4,8,12,5,19,16,14,17,13,19,20,0,12
20230160,9,8,8,3,11,18,9,17,3,20,20,16,1,6
20230161,1,17,11,12,18,7,17,7,5,3,12,9,9,17
20230162,13,13,2,14,16,11,17,12,13,7,17,19,17,12
20230163,14,3,3,4,17,11,16,18,0,6,15,19,16,16
20230164,18,1,1,2,10,0,13,3,14,19,6,14,14,9
20230165,14,15,1,8,2,12,4,20,15,7,15,5,16,18
20230166,5,12,13,0,8,0,9,9,11,0,9,15,12,20
20230167,18,6,17,1,1,8,10,16,13,4,12,0,15,14
20230168,14,3,13,14,9,5,5,7,13,19,7,5,8,8
20230169,1,5,18,13,10,8,20,10,9,8,18,5,11,17
20230170,13,7,17,6,0,19,16,7,15,0,12,14,11,6
20230171,11,17,7,1,8,1,5,2,2,11,11,2,7,19
20230172,4,11,12,13,4,2,0,9,18,17,6,5,14,12
20230173,19,11,0,4,18,0,10,4,6,19,20,5,11,17
20230174,12,15,5,12,1,7,10,5,13,3,3,4,13,13
20230175,2,17,9,11,19,6,3,16,12,4,12,13,10,16
20230176,17,14,13,12,3,20,1,6,18,15,12,0,14,12
20230177,2,16,17,13,11,19,4,7,7,4,11,12,4,14
20230178,10,18,0,8,5,12,14,11,3,6,13,15,16,8
20230179,14,17,0,20,9,4,7,17,20,8,14,1,10,1
20230180,3,13,15,8,3,1,20,14,20,1,6,18,0,9
20230181,4,5,16,13,16,5,8,9,1,10,11,16,17,19
20230182,4,19,19,2,1,2,20,16,8,9,7,0,2,9
20230183,2,20,15,15,11,5,19,14,15,14,17,1,4,16
20230184,5,9,4,1,20,1,19,19,15,15,1,0,15,16
20230185,10,3,4,14,9,17,12,13,9,15,14,16,16,17
20230186,2,16,16,0,16,2,12,0,7,18,7,4,10,9
20230187,6,16,11,11,12,7,7,9,3,7,13,7,3,11
20230188,17,14,3,16,11,14,1,15,3,13,19,15,14,14
20230189,13,20,0,4,16,13,12,19,8,17,20,0,5,19
20230190,10,17,10,7,1,20,2,17,9,20,2,5,11,9
20230191,11,8,9,3,16,12,13,4,10,15,16,5,8,15
20230192,2,2,7,6,1,11,4,9,15,16,17,16,14,19
20230193,4,0,9,0,16,13,15,18,0,11,19,3,19,19
20230194,14,7,12,14,4,10,8,3,19,10,18,2,19,15
20230195,2,2,18,19,4,0,0,16,8,5,18,20,13,14
20230196,9,11,9,20,17,6,11,14,6,10,13,7,0,5
20230197,2,14,16,19,0,2,17,8,17,11,6,19,12,7
20230198,9,0,16,1,18,10,9,14,2,17,16,18,15,4
20230199,6,14,20,7,11,16,1,0,7,12,15,9,7,4
20230200,10,14,20,0,8,18,7,0,15,20,2,4,12,18
